,title,salary,jobtype,description,location
19,Data Linguist-I,,,Deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers.Business level fluency in English.,"Cambridge, MA"
20,Data Scientist (Spring 2021 Co-Op),,,Work closely with data scientists and analysts to design and develop data mining and machine.Distributed data systems such as Hadoop and Spark.,"Champaign, IL"
21,AI/ML - Machine Learning Researcher,,,"Demonstrated expertise in machine learning research.Publication record in relevant conferences (e.g. NeurIPS, ICML, ICLR, AAAI, CVPR, ICCV, ECCV, ACL, EMNLP,…","Santa Clara Valley, CA 95014"
22,Data Analyst - Remote,,Remote,Use your understanding of the intelligence analysis process as a defense SME to translate complex data science approaches to solutions into meaningful…,Remote•Remote
23,"Senior Lecturer (Online Adjunct), MS Data Science, SBE",,Remote,Emphasis is on the role of data in developing business strategy.Course explores the use of insights obtained from data to develop solutions to competitive…,"Superior, WI•Remote"
24,Senior Data Analyst,,,"DUTIES: Discover, analyze and deliver data that applies to various business scenarios and opportunities; develop metrics and present them through quality…","Sunnyvale, CA 94086 (Washington area)"
25,Data Science Research Specialist,,Remote,Experience in data science relevant to the position description.Research experience in geospatial data science or a similar field is a requirement to start…,"Minneapolis, MN•Remote"
26,Research Data Scientist,,Remote,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.Experience with Machine Learning, Statistics, or other data analysis tools and…",Remote+6 locations•Remote
27,Data Scientist,,Remote,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","San Francisco, CA 94104 (Financial District area)•Remote"
28,DATA SCIENTIST,,Remote,Experience working with sensitive or personally identifiable data and handling associated governance issues.Analytical or Research experience from any relevant…,Remote•Remote
29,Data Scientists,,,,"Seattle, WA"
30,Artificial Intelligence Researcher,,,"Ericsson Research is looking for highly motivated and hardworking Artificial Intelligence Researchers, bringing AI & Machine Learning to mobile networks.","Santa Clara, CA 95054"
31,"F2 (Facebook Financial), Data Scientist",,Remote,Drive data engineering priorities that enable analytical and modeling success.F2 builds & supports all things payments and financial services experiences at…,Remote+3 locations•Remote
32,Assistant Professor of Humanities Data Science,,,Candidates should in addition be prepared to take full advantage of the rich array of resources at the UW for research and teaching in data science as well as…,"Seattle, WA 98195 (University District area)"
33,Machine Learning Data Associate,,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.","Santa Barbara, CA"
34,Data Scientist,,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,"Burlingame, CA 94010"
35,Data Product Associate,,,"Proactive communication : Serves as a project expert, thought leader, and strategic advisor to business stakeholders and data science team; collaborate with all…","San Francisco, CA (North Waterfront area)"
36,Data Science Resident,$35 an hour,,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…","San Francisco, CA 94105+7 locations (South Beach area)"
37,Analyst Behavioral Science & Analytics,,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",United States
38,Lecturer of Data Science,,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…","Williamsburg, VA 23187"
39,Data Engineer,,,"Experience with data modeling, data warehousing, and building ETL pipelines.Demonstrated strength in data modeling, ETL development, and data warehousing.","New York, NY"
40,Assistant Professor - Data Science,"Up to $92,250 a year",,"The ideal candidate will be able to lead our efforts at the intersection of data science, data engineering, machine learning, and statistics.","Denver, CO 80221 (Regis area)"
41,Computational/Data Science Research Associate,,,"Basic and applied research in signal processing, theoretical modeling of physical systems, computational science or data science and deep learning.","Austin, TX 78712 (University of Texas area)"
42,"Interview Analyst - Spanish Study (Remote, USA)",$15 an hour,Remote,This will help our team gather enough data to teach computers to identify the same traits.Additional special projects may be assigned if time allows.,North Carolina•Remote
43,"Research Professor and Roux Institute Member (Open Rank), Co...",,,"Developing data-driven methods for clinical decision support in broad areas of medicine and healthcare.Developing computational models of disease, constraining…","Portland, ME"
44,"Data Science - Online Adjunct, Graduate Level",,Remote,Role played by data science in different fields.Understanding the role played by statistical software in data sciences and selecting appropriate software to…,"Philadelphia, PA 19104 (Spruce Hill area)•Remote"
45,Statistician - Part Time,$35 an hour,,"Implement best data analyses procedures.Review realistic data collection plans.Create a customized data analysis plan.Max 19 hours per week, hours vary.","Rochester, MI"
46,Data Scientist,,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,"Burlingame, CA 94010"
47,Data /Software Engineers,,,"Working with other software engineers; Experience working with Data Scientists a plus; Experience with data science tools, ML, etc. a plus.","Seattle, WA"
48,Data Scientist,,,"BS degree in statistics, machine learning, or data science.MS degree in statistics, machine learning, or data science.",United States
49,Data Science,,,"Currently a Masters higher education in a related field of study – e.g. Computer science, NLP and ML.We cater to all the flagship products, applications and…","Waltham, MA 02451"
50,"Part-time Faculty Mathematics, Statistics and/or Data Scienc...",,,"Part-time Faculty Mathematics, Statistics and/or Data Science Instructor.**Montgomery College accepts applications for Adjunct/Part-time Faculty on a…","Montgomery County, MD"
51,Conservation Data Scientist - 21069,,,"Significant data science or computer science expertise.They have expertise in cloud-based data management and analysis, conservation science workflows, and…","Washington, DC 20037 (West End area)"
52,Data Science Fellowship Program (Pandemic Response Accountab...,"$51,592 - $84,732 a year",,We're looking for individuals in the data science field with the requisite education and skills to provide data-driven insights and help solve complex problems…,"Salt Lake City, UT"
53,"Temporary Data Engineer, Data Science (Remote)",,Remote,Collaborate with Data Architecture and other Data Engineering groups maintaining a focus on operationalizing data flows in the service of data science and…,"Chicago, IL•Remote"
54,"Analyst, Baseball Research & Development",,,Our R&D group helps shape the Baseball Operations decision-making processes through the analysis and interpretation of data.Experience with R or Python.,"Saint Petersburg, FL 33705"
55,Research Scientist- School of Data Science,,,Candidates must be proficient in programming using python and associated machine learning libraries and packages and have experience in the application of…,"Charlottesville, VA"
56,Data Analyst - Remote,,Remote,Use your understanding of the intelligence analysis process as a defense SME to translate complex data science approaches to solutions into meaningful…,Remote•Remote
57,"AI/ML - Data Scientist, Siri Data",,,"You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…","Seattle, WA"
58,Associate Data Analyst,,,"Ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured…","Augusta, GA"
59,Data Linguist-I,,,Deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers.Business level fluency in English.,"Cambridge, MA"
60,Data Science,,,"All specialization areas in Data Science will be considered, however, preferred areas of expertise are data mining and visualization, cloud computing,…","Rockville Centre, NY 11571"
61,Data Scientist - Resilience Modeling,,,"Collaborate with an interdisciplinary team of software engineers and data scientists on cross-functional projects, interpreting data, and translating into…","Menlo Park, CA"
62,Postdoctoral Appointee - Machine Learning in Material Scienc...,,,"PhD in applied mathematics, computational science or engineering.Knowledge and expertise in computational science and code development.","Livermore, CA 94551"
63,Developmental Data Scientist,,,"Ability to pursue a career in data science.You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends,…","McLean, VA 22102"
64,Postdoctoral Positions: Using Machine Learning for Bias Redu...,,,"In addition to a quantitative background, the selected candidates will ideally have one or more of the following attributes: a) a strong background in physical…","Princeton, NJ 08544"
65,Part-Time Student-Smart Connected Factory/Data and Analytics...,,Remote,Locates and acquires data from existing data locations as needed to support analytics and reporting.Education focused in data and analytics.,"Waterloo, IA 50704•Remote"
66,Machine Learning Data Associate,,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.","Santa Barbara, CA"
67,Data Scientist - Personalization,,,2 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,"Charlotte, NC 28202 (Downtown Charlotte area)"
68,Data Modeler,,Remote,"Work with the Application Development team to implement data strategies, build data flows and develop conceptual data models.","Charlotte, NC 28201 (Myers Park area)•Remote"
69,Temporary Lecturer - Data Science Program,,,"We seek applicants in all content areas related to data science including data analysis, programming, statistics, machine learning and visualization.","San Diego, CA"
70,Associate Professor,,,Integrate advances in diverse fields of machine learning and computer science into modern analytics infrastructure and workflows.,"Winston-Salem, NC 27104"
71,"Assistant Scientist, Data Curation",,,Identify potential issues in data acquisition from the LC-MS instruments.BS Degree in physical or mathematical science or equivalent STEM degree.,"Morrisville, NC 27560"
72,"Postdoctoral Fellowship, Data Institute",,,"Opportunity to mentor or co-mentor graduate students on industry practicum projects, which will expose the fellow to practical data science problems in industry…","San Francisco, CA 94105 (Financial District area)"
73,Data Scientist Consultant - Life Science,,,"A blend of data science capability, consulting expertise and industry experience (e.g. retail, CPG & loyalty), experienced storyteller with data and…","Philadelphia, PA 19103+2 locations (Logan Square area)"
74,Research Data Coordinator Behavioral Science,,,"Collects and enters patient's data into database including: demographic, outcomes data, and assessment data.Utilizes motivational techniques to assist patients…","Houston, TX 77030 (Medical Center Area area)"
75,Lecturer - Data Science - School of Information,"$61,930 - $162,227 a year",,"Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…","Berkeley, CA 94720"
76,Data Scientist III - 64038,,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…","Philadelphia, PA 19146 (Graduate Hospital area)"
77,NLP Developer,,,"Required Skills4 - 6 years of professional experience in NLP programmingNLP programming in R and or Python / AnacondaHeavy programming skills; linguistics, text…","Charlotte, NC 28202 (Third Ward area)"
78,JPMWM - Quant Analytics - Data & Analytics - Sr. Associate,,,"We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Columbus, OH"
79,"Program Design Lead, Data Science",,Remote,Create our data science content roadmap and be able to communicate our goals to key internal and external stakeholders and implement feedback on an ongoing…,Remote•Remote
80,Data Scientist,,,"We also offer many company-sponsored classes and conferences that focus on data science, ML, and engineering excellence.","Redmond, WA 98052+3 locations (Overlake area)"
81,Jr Data Scientist,,,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,"Santa Monica, CA"
82,Data Scientist (Spring 2021 Co-Op),,,Work closely with data scientists and analysts to design and develop data mining and machine.Distributed data systems such as Hadoop and Spark.,"Champaign, IL"
83,"Data Engineer, Analytics (Generalist)",,Remote,"Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.",Remote+5 locations•Remote
84,Data Scientist - Decision Science,,,"You will work closely with marketing, product, science and software teams to uncover insights and enable data-driven decision making across all areas of the…","San Francisco, CA"
85,Analyst - Data Science,,,Maintain and document work associated with analyses and data science products.Collect and process data to perform statistical analyses.,"Foxborough, MA 02035"
86,Associate Data Scientist,"Up to $114,660 a year",,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.","Nashville, TN"
87,Part Time Data Science Instructor,,Remote,Has solid data science industry experience.Preferably has teaching experience alongside data science.Is a data scientist with outstanding knowledge of and…,Remote•Remote
88,Data Scientist,,Remote,Experience in sharing data science/machine learning experiment results with both technical and business oriented people.Identify and propose new use cases.,Remote•Remote
89,Data Scientist,,,Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop processes and tools to monitor and analyze model performance…,"Dodgeville, WI 53595"
90,Data Science and Analytics Lab Engineer,"Up to $191,000 a year",,"We are a passionate, diverse team looking for data science professionals who can help us re-envision insurance in light of technical, societal, and consumer…","Chicago, IL"
91,"Associate Data Scientist, Ads",,Remote,Perform analyses on large sets of data to extract actionable insights that will help drive product decisions.Possess statistical competence (such as regression…,"New York, NY•Remote"
92,Statistical Assistant,"$39,684 - $51,592 a year",Remote,Performs data conversions to review calculations and averages to ensure publishable data.Performs data collection and survey processing activities.,"Reston, VA•Remote"
93,"Scientist, Data Science",,,"1-year experience in data science with a focus on pricing analytics, statistical modeling, machine learning, forecasting and optimization.","Portland, OR 97209 (Pearl District area)"
94,Data Scientists in Biomedical Data Science - Schmidt Data X...,,,"You will have access to Princeton's first-class resources, the opportunity to co-author academic publications, to offer short courses and workshops on data…","Princeton, NJ 08544"
95,Data Engineer,,,"This position develops, tests, and maintains scalable and efficient data pipelines to acquire and transform large volumes of structured and unstructured data,…","Richmond, VA"
96,Data Scientists,,,,"Seattle, WA"
97,"# 21-16 Senior Lecturer (Online Adjunct), MS Data Science, S...",,Remote,Emphasis is on the role of data in developing business strategy.Course explores the use of insights obtained from data to develop solutions to competitive…,"Superior, WI•Remote"
98,Data Science Sr Analyst,,,"Project and/or classroom experience in areas like data analysis, optimization, machine learning, supply chain management, pricing and promotion analysis,…","San Francisco, CA+4 locations"
99,DATA SCIENTIST,,Remote,Experience working with sensitive or personally identifiable data and handling associated governance issues.Analytical or Research experience from any relevant…,Remote•Remote
100,Data Scientist,,,Knowledge of statistics or data visualization is a plus.Understanding the data which our clients provide to us;,"San Mateo, CA+1 location"
101,Instructional Aide (TEMP) - Masters of Applied Data Science...,,,UMSI has an immediate need for Instructional Aides to support our online Masters of Applied Data Science program.Administer and grade assignments using rubric.,"Ann Arbor, MI 48109"
102,Data Scientist,,,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.Implement best practices for data performance, automation, compliance,…","Eagan, MN"
103,"Adjunct Instructor, Business Data Science, Online",,,"Engage in the classroom and reply to emails, students’ questions, etc. within 24 hours on non-holiday weekdays.Be a faculty leader in your classes.",United States
104,Data Scientist,,Remote,"Design and implement model features using administrative claims data, engagement data, and other data sources.Experience with healthcare data is a plus.",New York State•Remote
105,"Part-time Faculty Mathematics, Statistics and/or Data Scienc...",,,"Part-time Faculty Mathematics, Statistics and/or Data Science Instructor.**Montgomery College accepts applications for Adjunct/Part-time Faculty on a…","Montgomery County, MD"
106,Data Scientist,,,"Establish links across existing data sources and find new, interesting data correlations.Strong knowledge of core computer science principles including…","Stamford, CT"
107,Data Scientist,,,"Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.","Toledo, OH 43615+1 location (Reynolds Corners area)"
108,Data Science Lead Customer Analytics,,,"Engage with domain experts to define requirements for data science solutions, define and develop alternative approaches, training data creation and curation,…","Creve Coeur, MO"
109,Conservation Data Scientist - 21069,,,"Significant data science or computer science expertise.They have expertise in cloud-based data management and analysis, conservation science workflows, and…","Washington, DC 20037 (West End area)"
110,Global Analytics Associate,,,Computer Sciences degree with data analysis/data science concentration.Review/QC data to ensure accuracy of attribution reports.,"Nashville, TN"
111,"Assistant Scientist, Data Curation",,,Identify potential issues in data acquisition from the LC-MS instruments.BS Degree in physical or mathematical science or equivalent STEM degree.,"Morrisville, NC 27560"
112,Data Scientist,,,"Analyzes and models structured data and implements algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine…","Fort Wayne, IN 46845"
113,DATA SCIENTIST - HEALTHCARE,,,"Understanding of high performance algorithms and R statistical software ; Experience in industry data science (e.g., machine learning, predictive maintenance);…","Dayton, OH"
114,"Postdoctoral Fellowship, Data Institute",,,"Opportunity to mentor or co-mentor graduate students on industry practicum projects, which will expose the fellow to practical data science problems in industry…","San Francisco, CA 94105 (Financial District area)"
115,Applied Mathematician,,,"You will be part of an experienced software development team and will be asked to solve challenging 3D problems that will impact how dentist scan, design, and…","Richardson, TX"
116,Research Data Coordinator Behavioral Science,,,"Collects and enters patient's data into database including: demographic, outcomes data, and assessment data.Utilizes motivational techniques to assist patients…","Houston, TX 77030 (Medical Center Area area)"
117,Lecturer - Data Science - School of Information,"$61,930 - $162,227 a year",,"Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…","Berkeley, CA 94720"
118,Data Analyst IV,"$4,917 - $8,060 a month",,"Assists in developing data quality measures, analyzing data quality results, and implementing necessary changes to ensure data quality improvement.","Austin, TX 78756 (Brentwood area)"
119,Machine Learning Operations Engineer,,,"An expert Cloud data /ML engineer with an eye for AI.Minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…","Miami, FL 33126+7 locations (Flagami area)"
120,"Data Scientist, Lifetime Value",,,Experience sourcing data for modeling from a star schema data warehousing architecture and feature engineering using SQL.,"Columbus, OH"
121,Data Scientist III - 64038,,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…","Philadelphia, PA 19146 (Graduate Hospital area)"
122,Software Development Engineer - Marketing Analytics,,,These systems should be designed to scale with exponential growth in data and run continuously.You will be designing analytic applications that capture data…,"Irvine, CA"
123,NLP Developer,,,"Required Skills4 - 6 years of professional experience in NLP programmingNLP programming in R and or Python / AnacondaHeavy programming skills; linguistics, text…","Charlotte, NC 28202 (Third Ward area)"
124,Applied Social Scientist,"$72,750 - $113,362 a year",,"Attention to detail, self-motivation, flexibility, and resilience are critical and data visualization skills are a plus.","Fort Meade, MD"
125,Postdoctoral Research Associate: Cognitive Science + Big Dat...,,,This person will conduct research that uses big data including text corpuses and theory-based as well as data-based (machine learning) interpretation of such…,"Princeton, NJ 08544"
126,Data Scientist/Bioinformatician - Scientific Computing,,,Perform demographic data analyses to showcase the characteristics of specific data sets to convey the benefits of using the different data sets.,"New York, NY 10029 (East Harlem area)"
127,Machine Learning Engineer,$75 an hour,Remote,"Supervising the data acquisition process if more data is needed.Verifying data quality, and/or ensuring it via data cleaning.Analysis- 50% of the time.",Remote•Remote
128,Data Analytics Engineer,,,Experience with common data science toolkits such as R & Python.Ensure data integrity through testing of results.Proficient using query languages such as SQL.,"Raymond, OH 43067"
129,Machine Learning Engineer (NLP),,Remote,"You will be working closely with our data science, product, engineering and care teams.Dig into data with ad hoc analysis as necessary for technical, clinical,…",Remote•Remote
130,"AI/ML - Machine Learning, Engineer",,,Strong background in algorithms and data structures.Utilizing Spark Hadoop MapReduce Hive Impala to perform distributed data processing pipelines.,"Santa Clara Valley, CA 95014"
131,VP of Product Data Science & Engineering,,,You have experience building and leading large and geographically distributed data science teams (100+).You have a deep technical background in applied data…,"Los Gatos, CA"
132,Data Science Associate,,Remote,"Experience and training in data science.The position participates as a member of the data science team in identifying and analyzing school data, proprietary…",Remote•Remote
133,Data Scientist,,Remote,Advise analysts and non-technical teams on issues where data science can make an impact.The key concerns of the data science team range from predicting the…,Remote•Remote
134,Applied Research Scientist (University Grad),,,"Experience performing data extraction, cleaning, analysis and presentation for medium to large datasets.Work cross-functionally to define problem statements,…","Menlo Park, CA 94025+2 locations"
135,Analyst Behavioral Science & Analytics,,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",United States
136,Full Time Opportunities for PhD Students or Recent Graduates...,,,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,"Redmond, WA 98052 (Overlake area)"
137,Data Analytics Associate,"$95,000 - $105,000 a year",Remote,"Being the expert on where data originates, how they are mapped and utilized in our products, and ultimately what value data delivers to our customers.",Remote•Remote
138,"Recruiting Lead, Data Science",,,"As a Recruiting Lead on our Data Science Sourcing & Recruiting Teams, you will work closely with recruiting and sourcing leaders, Data Science business leaders…","Menlo Park, CA 94025+11 locations"
139,"Sr. Full Stack Developer, Decision Science",,,Transform data science protypes and applying appropriate ML algorithms and tools.Build data APIs and data delivery services that support critical operational…,"Atlanta, GA"
140,Data Scientist,,,"Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.","Toledo, OH 43615+1 location (Reynolds Corners area)"
141,Data Scientist - Global Planning,,,Leverages data science methodology to solve complex business problems.Partners with less experienced employees on data science tools and methodologies.,"Columbus, IN"
142,Senior Data Scientist,,Remote,Knowledge of data science technical stacks.Dealing with the flood of sensor data requires us to build large-scale systems that ride the big data wave rather…,Remote•Remote
143,AI Consultant 3,,,"The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…","San Francisco, CA+1 location"
144,Applied Data Science Director,,,Provide business ownership for the Statistical Tools and Data Analysis across the GSP data sciences efforts.In this vital role you will be a hands on technical…,"Thousand Oaks, CA"
145,Visiting Assistant Professor of Data Science,,,The Department of Data Science and Business Analytics at Florida Polytechnic University invites applications for a visiting assistant professor position…,"Lakeland, FL 33805"
146,AI/ML Rotation Program,,,Strong Computer Science fundamentals including familiarity with basic algorithms and data structures.Strong object-oriented programming and design skills.,"Seattle, WA"
147,"Research Scientist, Statistics (Core Data Science - PhD)",,,Experience learning and applying state-of-the-art practices and methodologies for data disclosure including differential privacy and synthetic data generation.,"Washington, DC 20004 (Penn Quarter area)"
148,"Postdoctoral Research Scientist, Applied Perception Science...",,,Experience with the modeling and analysis of 3D geometrical data using standard algebraic and/or quaternion-based methods.,"Redmond, WA"
149,Assistant Professor of Applied Mathematics / Data Science,,,"Collaborative efforts between math, science, and education faculty recently led to the funding of two major grants (a UTeach replication grant worth up to $1.4…","Columbus, GA 31907"
150,Assistant Professor of Data Science,,,"Data science, and cybersecurity and graduate programs in data science, cyber security, and cyber risk.Terminal degree in data science, computer science, or a…","Erie, PA 16546"
151,"Statistical Programming Leadership Opportunity, Late Oncolog...",,,"You will work in the Oncology Programming department that oversees and delivers global programming aspects of clinical development, leads and maintains the end…","Gaithersburg, MD 20878+1 location"
152,Software Development Engineer - Personalization,,,"You are a software engineer with an interest in modern user interfaces, data science, machine learning, search, or recommendation systems.","Irvine, CA"
153,Data Scientist,,,"Document data sources, data definitions, strategies, models and policies.Strong data querying skills using SQL, hands-on data analysis experience using SAS or…","Beaverton, OR 97006 (Triple Creek area)"
154,Assistant Professor Data Analytics Machine Learning Database...,,,Purdue University's Department of Computer and Information Technology invites applications for (2) Tenure Track Faculty positions at the rank of Assistant…,"West Lafayette, IN 47906"
155,Data Engineer,,,"This role requires deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and…","Franklin Lakes, NJ"
156,Data Science Advisor (International Markets),,,Work with Data Engineering to keep abreast of data enrichment including first and third party data.Develop profit optimization models with data and through…,"Bloomfield, CT"
157,"AI/ML - Applied Research Scientist, MI Sensing",,,"In this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…","Seattle, WA"
158,Biomedical Data Scientist,"$54,142 - $89,315 a year",Remote,The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,"Lexington, KY•Remote"
159,"AI/ML - Applied Research Scientist, Sensing Experiences",,,"In this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…","Seattle, WA"
160,Machine Learning Operations Engineer,,,"An expert Cloud data /ML engineer with an eye for AI.Minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…","Irving, TX 75039+7 locations (Las Colinas Urban Center area)"
161,Researcher 5,,,"Develop, document and maintain analytic data files.Demonstrated experience in large-scale data management.Master's Degree in Statistics, Biostatistics, Data…","Minneapolis, MN"
162,Cybersecurity - Multiple Levels,,,"Noblis is looking for cleared candidates to fill IT positions at varying levels with program management, systems engineering, information security, and data…","Huntsville, AL"
163,Data Engineering Consultant,,,"Minimum of two years of experience in one or more of the following areas:- Business Translator (identifying business problem, initiative, analytics intervention…","Irving, TX 75039+5 locations (Las Colinas Urban Center area)"
164,Data Scientist NGSE,,,Experience in data engineering a plus.Tableau / data visualization experience a plus.The candidate will also produce creative solutions to complex business…,"Parsippany, NJ 07054"
165,Consumer & Market Knowledge - Advanced Analytics Co-op (FALL...,,,Have confirmed history from school or work experience that demonstrates an ability to lead a data science or analytics.,"Cincinnati, OH 45201 (Central Business District area)"
166,Machine Learning Engineer,,,Demonstrated experience working with and updating cached data.Required SkillsBachelors Degree in Computer Science/ related degree or Equivalent working…,"Pennington, NJ 08534"
167,Senior Data Scientist - Nationwide Opportunities,,Remote,"6+ years of industry experience in predictive modeling, data science, and analysis.Experience handling terabyte size datasets, diving into data to discover…",Remote•Remote
168,"AI/ML - Embedded Data Scientist, Siri Data",,,"You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…","Seattle, WA"
169,Climate Health Data Scientist,,,"Experience working with publicly available socio-demographic data, including US Census data, local government data, and publicly available geographic data.","McLean, VA"
170,Data Scientist - Time Series and Physiological Waveforms,,,"Generate insights from diverse data types, including physiological waveforms, bedside monitoring data, and data from electronic medical records.","Cambridge, MA 02141 (East Cambridge area)"
171,Sr Data Scientist -- Pharma -- Claims -- SAS -- SQL,,Remote,Manipulate and / or build query statements to perform data extracts across multiple data sets and platforms.To translate data into intelligence.,Remote•Remote
172,Data Scientist,,,"3+ years of experience in a data science capacity or the equivalent academic experience.Experience with systems-level data science toolkits (scikit-learn,…","Miami, FL"
173,Statistician,,,Review case report forms to ensure appropriate data collection.Review edit checks algorithm to ensure data quality for statistical analyses.,"San Diego, CA"
174,Senior Computational Biologist (Data Science),,,A team of data scientists and data engineers.Be part of and lead team of data scientists and data engineers.Knowledge of computer science concepts.,"San Francisco, CA"
175,Data Scientist,,Remote,At least 1 year of solid data science industry experience.Improving our data engineering and workflow.Metis Data Scientists provide incredible and inspiring…,Remote•Remote
